地域コード,都道府県,市区町村
R04322,宮城県,村田町
R04323,宮城県,柴田町
R04324,宮城県,川崎町
R04341,宮城県,丸森町
R04361,宮城県,亘理町
R04362,宮城県,山元町
R04401,宮城県,松島町
R04404,宮城県,七ヶ浜町
R04406,宮城県,利府町
R04421,宮城県,大和町
R04422,宮城県,大郷町
R04424,宮城県,大衡村
R04444,宮城県,色麻町
R04445,宮城県,加美町
R04501,宮城県,涌谷町
R04505,宮城県,美里町
R04581,宮城県,女川町
R04606,宮城県,南三陸町
R05201,秋田県,秋田市
R05202,秋田県,能代市
R05203,秋田県,横手市
R05204,秋田県,大館市
R05206,秋田県,男鹿市
R05207,秋田県,湯沢市
R05209,秋田県,鹿角市
R05210,秋田県,由利本荘市
R05211,秋田県,潟上市
R05212,秋田県,大仙市
R05213,秋田県,北秋田市
R05214,秋田県,にかほ市
R05215,秋田県,仙北市
R05303,秋田県,小坂町
R05327,秋田県,上小阿仁村
R05346,秋田県,藤里町
R05348,秋田県,三種町
R05349,秋田県,八峰町
R05361,秋田県,五城目町
R05363,秋田県,八郎潟町
R05366,秋田県,井川町
R05368,秋田県,大潟村
R05434,秋田県,美郷町
R05463,秋田県,羽後町
R05464,秋田県,東成瀬村
R06201,山形県,山形市
R06202,山形県,米沢市
R06203,山形県,鶴岡市
R06204,山形県,酒田市
R06205,山形県,新庄市
R06206,山形県,寒河江市
R06207,山形県,上山市
R06208,山形県,村山市
R06209,山形県,長井市
R06210,山形県,天童市
R06211,山形県,東根市
R06212,山形県,尾花沢市
R06213,山形県,南陽市
R06301,山形県,山辺町
R06302,山形県,中山町
R06321,山形県,河北町
R06322,山形県,西川町
R06323,山形県,朝日町
R06324,山形県,大江町
R06341,山形県,大石田町
R06361,山形県,金山町
R06362,山形県,最上町
R06363,山形県,舟形町
R06364,山形県,真室川町
R06365,山形県,大蔵村
R06366,山形県,鮭川村
R06367,山形県,戸沢村
R06381,山形県,高畠町
R06382,山形県,川西町
R06401,山形県,小国町
R06402,山形県,白鷹町
R06403,山形県,飯豊町
R06426,山形県,三川町
R06428,山形県,庄内町
R06461,山形県,遊佐町
R07201,福島県,福島市
R07202,福島県,会津若松市
R07203,福島県,郡山市
R07204,福島県,いわき市
R07205,福島県,白河市
R07207,福島県,須賀川市
R07208,福島県,喜多方市
R07209,福島県,相馬市
R07210,福島県,二本松市
R07211,福島県,田村市
R07212,福島県,南相馬市
R07213,福島県,伊達市
R07214,福島県,本宮市
R07301,福島県,桑折町
R07303,福島県,国見町
R07308,福島県,川俣町
R07322,福島県,大玉村
R07342,福島県,鏡石町
R07344,福島県,天栄村
R07362,福島県,下郷町
R07364,福島県,檜枝岐村
R07367,福島県,只見町
R07368,福島県,南会津町
R07402,福島県,北塩原村
R07405,福島県,西会津町
R07407,福島県,磐梯町
R07408,福島県,猪苗代町
R07421,福島県,会津坂下町
R07422,福島県,湯川村
R07423,福島県,柳津町
R07444,福島県,三島町
R07445,福島県,金山町
R07446,福島県,昭和村
R07447,福島県,会津美里町
R07461,福島県,西郷村
R07464,福島県,泉崎村
R07465,福島県,中島村
R07466,福島県,矢吹町
R07481,福島県,棚倉町
R07482,福島県,矢祭町
R07483,福島県,塙町
R07484,福島県,鮫川村
R07501,福島県,石川町
R07502,福島県,玉川村
R07503,福島県,平田村
R07504,福島県,浅川町
R07505,福島県,古殿町
R07521,福島県,三春町
R07522,福島県,小野町
R07541,福島県,広野町
R07542,福島県,楢葉町
R07543,福島県,富岡町
R07544,福島県,川内村
R07545,福島県,大熊町
R07546,福島県,双葉町
R07547,福島県,浪江町
R07548,福島県,葛尾村
R07561,福島県,新地町
R07564,福島県,飯舘村
R08201,茨城県,水戸市
R08202,茨城県,日立市
R08203,茨城県,土浦市
R08204,茨城県,古河市
R08205,茨城県,石岡市
R08207,茨城県,結城市
R08208,茨城県,龍ケ崎市
R08210,茨城県,下妻市
R08211,茨城県,常総市
R08212,茨城県,常陸太田市
R08214,茨城県,高萩市
R08215,茨城県,北茨城市
R08216,茨城県,笠間市
R08217,茨城県,取手市
R08219,茨城県,牛久市
R08220,茨城県,つくば市
R08221,茨城県,ひたちなか市
R08222,茨城県,鹿嶋市
R08223,茨城県,潮来市
R08224,茨城県,守谷市
R08225,茨城県,常陸大宮市
R08226,茨城県,那珂市
R08227,茨城県,筑西市
R08228,茨城県,坂東市
R08229,茨城県,稲敷市
R08230,茨城県,かすみがうら市
R08231,茨城県,桜川市
R08232,茨城県,神栖市
R08233,茨城県,行方市
R08234,茨城県,鉾田市
R08235,茨城県,つくばみらい市
R08236,茨城県,小美玉市
R08302,茨城県,茨城町
R08309,茨城県,大洗町
R08310,茨城県,城里町
R08341,茨城県,東海村
R08364,茨城県,大子町
R08442,茨城県,美浦村
R08443,茨城県,阿見町
R08447,茨城県,河内町
R08521,茨城県,八千代町
R08542,茨城県,五霞町
R08546,茨城県,境町
R08564,茨城県,利根町
R09201,栃木県,宇都宮市
R09202,栃木県,足利市
R09203,栃木県,栃木市
R09204,栃木県,佐野市
R09205,栃木県,鹿沼市
R09206,栃木県,日光市
R09208,栃木県,小山市
R09209,栃木県,真岡市
R09210,栃木県,大田原市
R09211,栃木県,矢板市
R09213,栃木県,那須塩原市
R09214,栃木県,さくら市
R09215,栃木県,那須烏山市
R09216,栃木県,下野市
R09301,栃木県,上三川町
R09342,栃木県,益子町
R09343,栃木県,茂木町
R09344,栃木県,市貝町
R09345,栃木県,芳賀町
R09361,栃木県,壬生町
R09364,栃木県,野木町
R09384,栃木県,塩谷町
R09386,栃木県,高根沢町
R09407,栃木県,那須町
R09411,栃木県,那珂川町
R10201,群馬県,前橋市
R10202,群馬県,高崎市
R10203,群馬県,桐生市
R10204,群馬県,伊勢崎市
R10205,群馬県,太田市
R10206,群馬県,沼田市
R10207,群馬県,館林市
R10208,群馬県,渋川市
R10209,群馬県,藤岡市
R10210,群馬県,富岡市
R10211,群馬県,安中市
R10212,群馬県,みどり市
R10344,群馬県,榛東村
R10345,群馬県,吉岡町
R10366,群馬県,上野村
R10367,群馬県,神流町
R10382,群馬県,下仁田町
R10383,群馬県,南牧村
R10384,群馬県,甘楽町
R10421,群馬県,中之条町
R10424,群馬県,長野原町
R10425,群馬県,嬬恋村
R10426,群馬県,草津町
R10428,群馬県,高山村
R10429,群馬県,東吾妻町
R10443,群馬県,片品村
R10444,群馬県,川場村
R10448,群馬県,昭和村
R10449,群馬県,みなかみ町
R10464,群馬県,玉村町
R10521,群馬県,板倉町
R10522,群馬県,明和町
R10523,群馬県,千代田町
R10524,群馬県,大泉町
R10525,群馬県,邑楽町
R11100,埼玉県,さいたま市
R11201,埼玉県,川越市
R11202,埼玉県,熊谷市
R11203,埼玉県,川口市
R11206,埼玉県,行田市
R11207,埼玉県,秩父市
R11208,埼玉県,所沢市
R11209,埼玉県,飯能市
R11210,埼玉県,加須市
R11211,埼玉県,本庄市
R11212,埼玉県,東松山市
R11214,埼玉県,春日部市
R11215,埼玉県,狭山市
R11216,埼玉県,羽生市
R11217,埼玉県,鴻巣市
R11218,埼玉県,深谷市
R11219,埼玉県,上尾市
R11221,埼玉県,草加市
R11222,埼玉県,越谷市
R11223,埼玉県,蕨市
R11224,埼玉県,戸田市
R11225,埼玉県,入間市
R11227,埼玉県,朝霞市
R11228,埼玉県,志木市
R11229,埼玉県,和光市
R11230,埼玉県,新座市
R11231,埼玉県,桶川市
R11232,埼玉県,久喜市
R11233,埼玉県,北本市
R11234,埼玉県,八潮市
R11235,埼玉県,富士見市
R11237,埼玉県,三郷市
R11238,埼玉県,蓮田市
R11239,埼玉県,坂戸市
R11240,埼玉県,幸手市
R11241,埼玉県,鶴ヶ島市
R11242,埼玉県,日高市
R11243,埼玉県,吉川市
R11245,埼玉県,ふじみ野市
R11246,埼玉県,白岡市
R11301,埼玉県,伊奈町
R11324,埼玉県,三芳町
R11326,埼玉県,毛呂山町
R11327,埼玉県,越生町
R11341,埼玉県,滑川町
R11342,埼玉県,嵐山町
R11343,埼玉県,小川町
R11346,埼玉県,川島町
R11347,埼玉県,吉見町
R11348,埼玉県,鳩山町
R11349,埼玉県,ときがわ町
R11361,埼玉県,横瀬町
R11362,埼玉県,皆野町
R11363,埼玉県,長瀞町
R11365,埼玉県,小鹿野町
R11369,埼玉県,東秩父村
R11381,埼玉県,美里町
R11383,埼玉県,神川町
R11385,埼玉県,上里町
R11408,埼玉県,寄居町
R11442,埼玉県,宮代町
R11464,埼玉県,杉戸町
R11465,埼玉県,松伏町
R12100,千葉県,千葉市
R12202,千葉県,銚子市
R12203,千葉県,市川市
R12204,千葉県,船橋市
R12205,千葉県,館山市
R12206,千葉県,木更津市
R12207,千葉県,松戸市
R12208,千葉県,野田市
R12210,千葉県,茂原市
R12211,千葉県,成田市
R12212,千葉県,佐倉市
R12213,千葉県,東金市
R12215,千葉県,旭市
R12216,千葉県,習志野市
R12217,千葉県,柏市
R12218,千葉県,勝浦市
R12219,千葉県,市原市
R12220,千葉県,流山市
R12221,千葉県,八千代市
R12222,千葉県,我孫子市
R12223,千葉県,鴨川市
R12224,千葉県,鎌ケ谷市
R12225,千葉県,君津市
R12226,千葉県,富津市
R12227,千葉県,浦安市
R12228,千葉県,四街道市
R12229,千葉県,袖ケ浦市
R12230,千葉県,八街市
R12231,千葉県,印西市
R12232,千葉県,白井市
R12233,千葉県,富里市
R12234,千葉県,南房総市
R12235,千葉県,匝瑳市
R12236,千葉県,香取市
R12237,千葉県,山武市
R12238,千葉県,いすみ市
R12239,千葉県,大網白里市
R12322,千葉県,酒々井町
R12329,千葉県,栄町
R12342,千葉県,神崎町
R12347,千葉県,多古町
R12349,千葉県,東庄町
R12403,千葉県,九十九里町
R12409,千葉県,芝山町
R12410,千葉県,横芝光町
R12421,千葉県,一宮町
R12422,千葉県,睦沢町
R12423,千葉県,長生村
R12424,千葉県,白子町
R12426,千葉県,長柄町
R12427,千葉県,長南町
R12441,千葉県,大多喜町
R12443,千葉県,御宿町
R12463,千葉県,鋸南町
R13101,東京都,千代田区
R13102,東京都,中央区
R13103,東京都,港区
R13104,東京都,新宿区
R13105,東京都,文京区
R13106,東京都,台東区
R13107,東京都,墨田区
R13108,東京都,江東区
R13109,東京都,品川区
R13110,東京都,目黒区
R13111,東京都,大田区
R13112,東京都,世田谷区
R13113,東京都,渋谷区
R13114,東京都,中野区
R13115,東京都,杉並区
R13116,東京都,豊島区
R13117,東京都,北区
R13118,東京都,荒川区
R13119,東京都,板橋区
R13120,東京都,練馬区
R13121,東京都,足立区
R13122,東京都,葛飾区
R13123,東京都,江戸川区
R13201,東京都,八王子市
R13202,東京都,立川市
R13203,東京都,武蔵野市
R13204,東京都,三鷹市
R13205,東京都,青梅市
R13206,東京都,府中市
R13207,東京都,昭島市
R13208,東京都,調布市
R13209,東京都,町田市
R13210,東京都,小金井市
R13211,東京都,小平市
R13212,東京都,日野市
R13213,東京都,東村山市
R13214,東京都,国分寺市
R13215,東京都,国立市
R13218,東京都,福生市
R13219,東京都,狛江市
R13220,東京都,東大和市
R13221,東京都,清瀬市
R13222,東京都,東久留米市
R13223,東京都,武蔵村山市
R13224,東京都,多摩市
R13225,東京都,稲城市
R13227,東京都,羽村市
R13228,東京都,あきる野市
R13229,東京都,西東京市
R13303,東京都,瑞穂町
R13305,東京都,日の出町
R13307,東京都,檜原村
R13308,東京都,奥多摩町
R13361,東京都,大島町
R13362,東京都,利島村
R13363,東京都,新島村
R13364,東京都,神津島村
R13381,東京都,三宅村
R13382,東京都,御蔵島村
R13401,東京都,八丈町
R13402,東京都,青ヶ島村
R13421,東京都,小笠原村
R14100,神奈川県,横浜市
R14130,神奈川県,川崎市
R14150,神奈川県,相模原市
R14201,神奈川県,横須賀市
R14203,神奈川県,平塚市
R14204,神奈川県,鎌倉市
R14205,神奈川県,藤沢市
R14206,神奈川県,小田原市
R14207,神奈川県,茅ヶ崎市
R14208,神奈川県,逗子市
R14210,神奈川県,三浦市
R14211,神奈川県,秦野市
R14212,神奈川県,厚木市
R14213,神奈川県,大和市
R14214,神奈川県,伊勢原市
R14215,神奈川県,海老名市
R14216,神奈川県,座間市
R14217,神奈川県,南足柄市
R14218,神奈川県,綾瀬市
R14301,神奈川県,葉山町
R14321,神奈川県,寒川町
R14341,神奈川県,大磯町
R14342,神奈川県,二宮町
R14361,神奈川県,中井町
R14362,神奈川県,大井町
R14363,神奈川県,松田町
R14364,神奈川県,山北町
R14366,神奈川県,開成町
R14382,神奈川県,箱根町
R14383,神奈川県,真鶴町
R14384,神奈川県,湯河原町
R14401,神奈川県,愛川町
R14402,神奈川県,清川村
R15100,新潟県,新潟市
R15202,新潟県,長岡市
R15204,新潟県,三条市
R15205,新潟県,柏崎市
R15206,新潟県,新発田市
R15208,新潟県,小千谷市
R15209,新潟県,加茂市
R15210,新潟県,十日町市
R15211,新潟県,見附市
R15212,新潟県,村上市
R15213,新潟県,燕市
R15216,新潟県,糸魚川市
R15217,新潟県,妙高市
R15218,新潟県,五泉市
R15222,新潟県,上越市
R15223,新潟県,阿賀野市
R15224,新潟県,佐渡市
R15225,新潟県,魚沼市
R15226,新潟県,南魚沼市
R15227,新潟県,胎内市
R15307,新潟県,聖籠町
R15342,新潟県,弥彦村
R15361,新潟県,田上町
R15385,新潟県,阿賀町
R15405,新潟県,出雲崎町
R15461,新潟県,湯沢町
R15482,新潟県,津南町
R15504,新潟県,刈羽村
R15581,新潟県,関川村
R15586,新潟県,粟島浦村
R16201,富山県,富山市
R16202,富山県,高岡市
R16204,富山県,魚津市
R16205,富山県,氷見市
R16206,富山県,滑川市
R16207,富山県,黒部市
R16208,富山県,砺波市
R16209,富山県,小矢部市
R16210,富山県,南砺市
R16211,富山県,射水市
R16321,富山県,舟橋村
R16322,富山県,上市町
R16323,富山県,立山町
R16342,富山県,入善町
R16343,富山県,朝日町
R17201,石川県,金沢市
R17202,石川県,七尾市
R17203,石川県,小松市
R17204,石川県,輪島市
R17205,石川県,珠洲市
R17206,石川県,加賀市
R17207,石川県,羽咋市
R17209,石川県,かほく市
R17210,石川県,白山市
R17211,石川県,能美市
R17212,石川県,野々市市
R17324,石川県,川北町
R17361,石川県,津幡町
R17365,石川県,内灘町
R17384,石川県,志賀町
R17386,石川県,宝達志水町
R17407,石川県,中能登町
R17461,石川県,穴水町
R17463,石川県,能登町
R18201,福井県,福井市
R18202,福井県,敦賀市
R18204,福井県,小浜市
R18205,福井県,大野市
R18206,福井県,勝山市
R18207,福井県,鯖江市
R18208,福井県,あわら市
R18209,福井県,越前市
R18210,福井県,坂井市
R18322,福井県,永平寺町
R18382,福井県,池田町
R18404,福井県,南越前町
R18423,福井県,越前町
R18442,福井県,美浜町
R18481,福井県,高浜町
R18483,福井県,おおい町
R18501,福井県,若狭町
R19201,山梨県,甲府市
R19202,山梨県,富士吉田市
R19204,山梨県,都留市
R19205,山梨県,山梨市
R19206,山梨県,大月市
R19207,山梨県,韮崎市
R19208,山梨県,南アルプス市
R19209,山梨県,北杜市
R19210,山梨県,甲斐市
R19211,山梨県,笛吹市
R19212,山梨県,上野原市
R19213,山梨県,甲州市
R19214,山梨県,中央市
R19346,山梨県,市川三郷町
R19364,山梨県,早川町
R19365,山梨県,身延町
R19366,山梨県,南部町
R19368,山梨県,富士川町
R19384,山梨県,昭和町
R19422,山梨県,道志村
R19423,山梨県,西桂町
R19424,山梨県,忍野村
R19425,山梨県,山中湖村
R19429,山梨県,鳴沢村
R19430,山梨県,富士河口湖町
R19442,山梨県,小菅村
R19443,山梨県,丹波山村
R20201,長野県,長野市
R20202,長野県,松本市
R20203,長野県,上田市
R20204,長野県,岡谷市
R20205,長野県,飯田市
R20206,長野県,諏訪市
R20207,長野県,須坂市
R20208,長野県,小諸市
R20209,長野県,伊那市
R20210,長野県,駒ヶ根市
R20211,長野県,中野市
R20212,長野県,大町市
R20213,長野県,飯山市
R20214,長野県,茅野市
R20215,長野県,塩尻市
R20217,長野県,佐久市
R20218,長野県,千曲市
R20219,長野県,東御市
R20220,長野県,安曇野市
R20303,長野県,小海町
R20304,長野県,川上村
R20305,長野県,南牧村
R20306,長野県,南相木村
R20307,長野県,北相木村
R20309,長野県,佐久穂町
R20321,長野県,軽井沢町
R20323,長野県,御代田町
R20324,長野県,立科町
R20349,長野県,青木村
R20350,長野県,長和町
R20361,長野県,下諏訪町
R20362,長野県,富士見町
R20363,長野県,原村
R20382,長野県,辰野町
R20383,長野県,箕輪町
R20384,長野県,飯島町
R20385,長野県,南箕輪村
R20386,長野県,中川村
R20388,長野県,宮田村
R20402,長野県,松川町
R20403,長野県,高森町
R20404,長野県,阿南町
R20407,長野県,阿智村
R20409,長野県,平谷村
R20410,長野県,根羽村
R20411,長野県,下條村
R20412,長野県,売木村
R20413,長野県,天龍村
R20414,長野県,泰阜村
R20415,長野県,喬木村
R20416,長野県,豊丘村
R20417,長野県,大鹿村
R20422,長野県,上松町
R20423,長野県,南木曽町
R20425,長野県,木祖村
R20429,長野県,王滝村
R20430,長野県,大桑村
R20432,長野県,木曽町
R20446,長野県,麻績村
R20448,長野県,生坂村
R20450,長野県,山形村
R20451,長野県,朝日村
R20452,長野県,筑北村
R20481,長野県,池田町
R20482,長野県,松川村
R20485,長野県,白馬村
R20486,長野県,小谷村
R20521,長野県,坂城町
R20541,長野県,小布施町
R20543,長野県,高山村
R20561,長野県,山ノ内町
R20562,長野県,木島平村
R20563,長野県,野沢温泉村
R20583,長野県,信濃町
R20588,長野県,小川村
R20590,長野県,飯綱町
R20602,長野県,栄村
R21201,岐阜県,岐阜市
R21202,岐阜県,大垣市
R21203,岐阜県,高山市
R21204,岐阜県,多治見市
R21205,岐阜県,関市
R21206,岐阜県,中津川市
R21207,岐阜県,美濃市
R21208,岐阜県,瑞浪市
R21209,岐阜県,羽島市
R21210,岐阜県,恵那市
R21211,岐阜県,美濃加茂市
R21212,岐阜県,土岐市
R21213,岐阜県,各務原市
R21214,岐阜県,可児市
R21215,岐阜県,山県市
R21216,岐阜県,瑞穂市
R21217,岐阜県,飛騨市
R21218,岐阜県,本巣市
R21219,岐阜県,郡上市
R21220,岐阜県,下呂市
R21221,岐阜県,海津市
R21302,岐阜県,岐南町
R21303,岐阜県,笠松町
R21341,岐阜県,養老町
R21361,岐阜県,垂井町
R21362,岐阜県,関ケ原町
R21381,岐阜県,神戸町
R21382,岐阜県,輪之内町
R21383,岐阜県,安八町
R21401,岐阜県,揖斐川町
R21403,岐阜県,大野町
R21404,岐阜県,池田町
R21421,岐阜県,北方町
R21501,岐阜県,坂祝町
R21502,岐阜県,富加町
R21503,岐阜県,川辺町
R21504,岐阜県,七宗町
R21505,岐阜県,八百津町
R21506,岐阜県,白川町
R21507,岐阜県,東白川村
R21521,岐阜県,御嵩町
R21604,岐阜県,白川村
R22100,静岡県,静岡市
R22130,静岡県,浜松市
R22203,静岡県,沼津市
R22205,静岡県,熱海市
R22206,静岡県,三島市
R22207,静岡県,富士宮市
R22208,静岡県,伊東市
R22209,静岡県,島田市
R22210,静岡県,富士市
R22211,静岡県,磐田市
R22212,静岡県,焼津市
R22213,静岡県,掛川市
R22214,静岡県,藤枝市
R22215,静岡県,御殿場市
R22216,静岡県,袋井市
R22219,静岡県,下田市
R22220,静岡県,裾野市
R22221,静岡県,湖西市
R22222,静岡県,伊豆市
R22223,静岡県,御前崎市
R22224,静岡県,菊川市
R22225,静岡県,伊豆の国市
R22226,静岡県,牧之原市
R22301,静岡県,東伊豆町
R22302,静岡県,河津町
R22304,静岡県,南伊豆町
R22305,静岡県,松崎町
R22306,静岡県,西伊豆町
R22325,静岡県,函南町
R22341,静岡県,清水町
R22342,静岡県,長泉町
R22344,静岡県,小山町
R22424,静岡県,吉田町
R22429,静岡県,川根本町
R22461,静岡県,森町
R23100,愛知県,名古屋市
R23201,愛知県,豊橋市
R23202,愛知県,岡崎市
R23203,愛知県,一宮市
R23204,愛知県,瀬戸市
R23205,愛知県,半田市
R23206,愛知県,春日井市
R23207,愛知県,豊川市
R23208,愛知県,津島市
R23209,愛知県,碧南市
R23210,愛知県,刈谷市
R23211,愛知県,豊田市
R23212,愛知県,安城市
R23213,愛知県,西尾市
R23214,愛知県,蒲郡市
R23215,愛知県,犬山市
R23216,愛知県,常滑市
R23217,愛知県,江南市
R23219,愛知県,小牧市
R23220,愛知県,稲沢市
R23221,愛知県,新城市
R23222,愛知県,東海市
R23223,愛知県,大府市
R23224,愛知県,知多市
R23225,愛知県,知立市
R23226,愛知県,尾張旭市
R23227,愛知県,高浜市
R23228,愛知県,岩倉市
R23229,愛知県,豊明市
R23230,愛知県,日進市
